 ,Label,Area,Mean,Min,Max,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,image234.tif,1991.000,255,255,255,51.173,49.538,53.624,52.393,516,373,66.371,50.535
2,image236.tif,0.878,255,255,255,1.125,0.993,179.488,1.163,417,445,173.418,1.000
3,image243.tif,2032.000,255,255,255,51.808,49.938,86.000,53.367,512,389,77.005,50.700
4,image243.tif,1715.000,255,255,255,47.931,45.557,77.833,49.980,157,668,70.115,47.399
5,image244.tif,1880.000,255,255,255,49.931,47.939,172.314,51.923,568,400,15.642,49.000
6,image245.tif,1911.000,255,255,255,50.112,48.555,172.166,51.923,582,315,15.642,49.813
