Index,Angle_before_entry,Angle_after_entry,Type,Initial_point,Final_point,Capsule_center,Hole_position,Time_on_hole,unique_index
55,12.669978666713748,171.36231839217862,b,"(128.464, 121.008, 6.38460285138096)","(60.49, 70.405, -2.8390602122100006)","(70.836, 84.566, 0)","(82.471, 94.538, 0)",0.273,I18_entry_Video_5_ROI_2
56,55.481187672059036,172.6299424872714,b,"(146.494, 11.979, -3.7329585067039766)","(103.97, 100.049, 3.491686373109834)","(106.578, 92.847, 0)","(141.811, 72.374, 0)",0.315,I18_entry_Video_7_ROI_4
58,63.21502507907201,174.12083483362323,b,"(75.485, 10.99, 8.675757865366126)","(94.565, 92.024, -2.5800932422962006)","(92.808, 83.882, 0)","(62.061, 53.125, 0)",0.252,I18_entry_Video_9_ROI_3
60,61.39667567307839,176.47399470072813,b,"(29.041, 8.032, 3.4673197381986105)","(64.493, 86.539, 3.1079189347931413)","(63.928, 70.096, 0)","(66.024, 30.932, 0)",0.294,I18_entry_Video_11_ROI_5
65,48.018627496489216,163.34949631780825,b,"(189.975, 30.066, 21.482144535925002)","(96.532, 96.557, 3.1079189347931413)","(100.958, 86.995, 0)","(130.89, 87.969, 0)",0.08,I18_entry_Video_16_ROI_4
77,24.133579723418837,163.12763428017948,b,"(38.116, 4.135, 1.0366296116625513)","(71.998, 34.985, 0.9340062757620524)","(71.119, 50.986, 0)","(51.508, 14.533, 0)",0.16,20240313_220642_144_Video_4_ROI_1
78,42.17045218621779,159.35613181801543,b,"(107.479, 187.96, 6.2160515418690725)","(77.479, 83.53, 3.1079189347931413)","(91.119, 95.076, 0)","(80.485, 130.614, 0)",0.16,20240313_220642_144_Video_6_ROI_2
79,34.04491079025122,157.89505165730955,b,"(107.005, 43.999, 3.6002981483102783)","(80.973, 122.007, 0.9051290862784178)","(96.72, 121.561, 0)","(90.076, 81.48, 0)",0.24,20240313_220642_144_Video_7_ROI_2
82,19.237676244859422,164.26396874370386,b,"(158.013, 77.072, 10.599727777644722)","(75.539, 83.968, 5.500493728409602)","(80.084, 76.16, 0)","(112.14, 81.289, 0)",0.168,entry_F20_entry_0017.nd2 - C=0-1_t2-1_Video_1_ROI_1
83,10.30218820557072,166.44260606596683,b,"(190.918, 180.043, -3.0658879561219727)","(158.082, 244.654, -2.0678567836108144)","(156.086, 236.3, 0)","(163.041, 221.055, 0)",0.714,entry_F20_entry_0035.nd2 - C=0-1_t2-1_Video_1_ROI_1
84,18.65536314475762,155.04706377964038,b,"(50.569, 45.844, -3.7243273944305706)","(149.5, 111.057, 3.6379099748702144)","(148.079, 118.807, 0)","(129.568, 111.614, 0)",0.315,entry_F20_entry_0044.nd2 - C=0-1_t2+t3_Video_1_ROI_1
87,24.080655960650702,178.6360437102074,b,"(43.002, 10.987, 3.666841166693936)","(56.998, 74.931, 1.007712609894444)","(55.041, 59.102, 0)","(48.502, 21.667, 0)",0.357,I15_entry_Video_6_ROI_2
88,48.78653694803781,170.85978102379772,b,"(11.034, 41.451, -4.246035400356121)","(91.958, 64.456, 3.7161065052737303)","(94.622, 62.692, 0)","(73.761, 40.028, 0)",0.399,I15_entry_Video_7_ROI_2
89,25.795822108778275,172.70030245823398,b,"(98.634, 122.339, -1.8752712860366465)","(45.398, 73.092, -1.6502910359032121)","(56.357, 74.399, 0)","(84.793, 95.767, 0)",0.399,I15_entry_Video_7_ROI_3
90,21.82066165854039,166.53326212108385,b,"(81.977, 6.021, 5.305063530903274)","(69.437, 50.85, 0.38990247663977673)","(60.466, 58.434, 0)","(70.907, 23.14, 0)",0.273,I15_entry_Video_12_ROI_1
95,53.47806038341161,164.19621405780813,b,"(40.516, 120.507, 2.423732261540544)","(64.99, 62.438, -1.1839115372382238)","(54.566, 60.437, 0)","(61.1, 98.979, 0)",0.546,I15_entry_Video_18_ROI_2
