LABEL,TRACK_INDEX,TRACK_ID,DIVISION_TIME_MEAN,DIVISION_TIME_STD,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Mean cell division time,Std cell division time,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,Mean div. time,Std div. time,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,(sec),(sec),,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_321,0,0,NaN,NaN,149,0,0,0,0,0,4.637203425168991,0.0,4.637203425168991,3.4171019774638016,25.037469042614887,15.483119496915805,0.0,9.371879826514238,28.330057289325552,0.854580236746361,8.48862619734547,5.495305687315751,0.9995973158202716,43.459313231784,3.5917092515134836,0.07862761105402608,0.736888521844235,0.07862761105402609,57.01062465719125
Track_325,4,4,NaN,NaN,46,0,0,0,0,0,1.409960500895977,0.0,1.409960500895977,2.225560330619646,1.5893565190632821,18.007594646206346,0.0,9.379309935548969,20.655391881470603,2.407460792064515,8.518865288282303,5.062936575498822,0.9993478267089181,13.224456534785237,2.225560330619646,0.16829125074180518,1.5784558001485758,0.16829125074180515,56.88655408443428
Track_333,12,12,NaN,NaN,41,0,0,0,0,0,1.2532982230186462,0.0,1.2532982230186462,0.4102028973692975,30.32012409200835,6.335330462855255,0.0,9.839249852728031,20.7693620009061,1.8380416708488734,8.813263121964818,4.899089132797133,0.97682927875984,12.33151435626052,0.9346164608024413,0.033264600398493945,0.3272987145719384,0.033264600398493945,54.53230056848235
Track_335,14,14,NaN,NaN,149,0,0,0,0,0,4.637203425168991,0.0,4.637203425168991,1.4274264810874444,20.011412931365054,7.488357062543526,0.0,9.101411788942595,24.570637655433124,0.5251183592265005,8.580562537610536,5.3489990832361345,0.9853020270398799,42.20509792155802,1.7843358728423537,0.0338211863348936,0.3078205440244247,0.03382118633489359,61.02109165487492
Track_337,16,16,NaN,NaN,149,0,0,0,0,0,4.637203425168991,0.0,4.637203425168991,0.5430372919946757,14.939156555278455,7.27181515029014,0.0,8.788120610205125,26.666765568308573,1.4764291603732007,8.016650439157658,4.721776165033504,0.9780536982037077,40.752302994441386,1.7382457252399333,0.01332531543232651,0.11710447918831295,0.013325315432326502,57.096695621659165
Track_338,17,17,NaN,NaN,55,0,0,0,0,0,1.6919526010751724,0.0,1.6919526010751724,1.3065705099061036,26.48519358426012,23.2374803747185,0.0,12.254286779672583,27.7743367614316,2.003660687912809,11.842085626621447,6.458298576527994,0.9972727287899364,20.733672391188133,1.4106526841800364,0.06301683972113882,0.7722264258914978,0.06301683972113885,58.556422607210116
Track_342,21,21,NaN,NaN,41,0,0,0,0,0,1.2532982230186462,0.0,1.2532982230186462,2.6047231041561987,15.181358272069357,25.522576773527224,0.0,10.165616790211219,27.22701057681736,0.9671018175617027,9.163292784156564,5.343634125686593,0.9846341493653088,12.740549459060231,3.1336898267708633,0.20444354558852193,2.0782947396849907,0.20444354558852187,51.01393797609636
