Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,22,0025-0922-1040,1026,910,28,24,25,N,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,23,0025-1022-1156,1142,1006,28,32,25,B,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,24,0025-0602-1171,1156,582,30,40,25,F,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,25,0025-0654-0280,266,642,28,24,25,F,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,26,0025-0875-0671,658,864,26,22,25,F,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,27,0025-0725-0491,476,710,30,30,25,F,1,,,,,,,
ROI__Seq01_13.50s.tif.csv,Seq01,13.50s,28,0025-0907-0204,192,896,24,22,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,0,0025-0555-0871,858,544,26,22,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,1,0025-0621-0901,888,604,26,34,25,B,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,2,0025-0597-0832,820,582,24,30,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,3,0025-0483-0871,860,468,22,30,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,4,0025-0538-1001,984,524,34,28,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,5,0025-0413-0965,954,398,22,30,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,6,0025-0372-0764,752,360,24,24,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,7,0025-0412-0696,684,394,24,36,25,B,1,,,,,,,
