Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,7,0563-0406,394,550,24,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,8,0580-0482,470,570,24,20,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,9,0589-0582,574,578,16,22,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,10,0283-0639,624,270,30,26,0,F,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,11,0266-0757,744,250,26,32,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,12,0253-0794,782,234,24,38,0,I,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,13,0275-0871,858,256,26,38,0,F,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,14,0284-0944,934,274,20,20,0,F,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,15,0350-0659,642,332,34,36,0,N,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,16,0420-0624,618,406,12,28,0,N,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,17,0417-0651,636,404,30,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,18,0449-0700,686,438,28,22,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,19,0486-0689,676,474,26,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,20,0545-0649,634,528,30,34,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,21,0473-0759,742,464,34,18,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,22,0412-0799,776,392,46,40,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,23,0463-0982,968,448,28,30,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,24,0460-1041,1032,438,18,44,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,25,0451-1012,1006,436,12,30,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,26,0447-1096,1074,432,44,30,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,27,0407-1079,1064,390,30,34,0,F,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,28,0694-0165,150,672,30,44,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,29,0689-0231,216,678,30,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,30,0629-0274,262,616,24,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,31,0632-0343,334,618,18,28,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,32,0718-0349,340,706,18,24,0,I,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,33,0769-0421,406,754,30,30,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,34,0800-0392,378,782,28,36,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,35,0888-0331,314,870,34,36,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,36,0883-0269,256,870,26,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,37,0903-0236,220,892,32,22,0,I,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,38,0979-0447,430,966,34,26,0,N,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,39,1091-0449,438,1070,22,42,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,40,0714-0622,614,696,16,36,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,41,0706-0674,662,692,24,28,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,42,0715-0736,726,696,20,38,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,43,0685-0758,746,672,24,26,0,F,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,44,0651-0889,878,636,22,30,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,45,0776-1048,1036,752,24,48,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,46,0877-0890,878,860,24,34,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,47,0930-0840,826,908,28,44,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,48,0941-0697,680,928,34,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,49,1050-0778,762,1038,32,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,50,1095-0720,706,1078,28,34,0,A,1,,,
ROI_20240703_191751_706_Seq00_14.25s.tif.csv,Seq00,14.25s,51,1149-0752,738,1136,28,26,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,0,0516-0429,414,508,30,16,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,1,0353-0656,642,342,28,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,2,0390-0621,606,378,30,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,3,0422-0654,638,410,32,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,4,0494-0622,608,484,28,20,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,5,0561-0762,744,548,36,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,6,0430-0899,890,420,18,20,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,7,0557-0936,924,542,24,30,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,8,0530-0811,800,518,22,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,9,0256-1091,1080,240,22,32,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,10,0679-0491,478,666,26,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,11,0753-0488,472,740,32,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,12,0743-0430,416,734,28,18,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,13,0773-0409,394,762,30,22,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,14,0876-0263,252,866,22,20,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,15,1030-0357,340,1012,34,36,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,16,1016-0417,402,1006,30,20,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,17,1090-0452,430,1078,44,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,18,0704-0705,688,688,34,32,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,19,0648-0975,958,640,34,16,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,20,0779-0987,974,768,26,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,21,0880-0885,872,868,26,24,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,22,0924-0756,746,910,20,28,0,F,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,23,1016-0716,700,1002,32,28,0,A,1,,,
ROI_20240703_191751_706_Seq00_28.50s.tif.csv,Seq00,28.50s,24,0921-1051,1036,908,30,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,0,0315-0517,506,302,22,26,0,B,1,,,
