exposure_time,Field,Well,video_index,ROI_index,bug_index,frame,escape_type,notes,last_switch,on_hole_start,on_hole_end,outside_frame,outside_I,outside_x,outside_y,outside_major,outside_minor,outside_angle,inside_frame,inside_I,inside_x,inside_y,inside_major,inside_minor,inside_angle,hole_I,hole_x,hole_y,capsule_inner_I,capsule_inner_x,capsule_inner_y,capsule_inner_d
80,20240313_215230_715,J19,10,9,2,104,b,outfocus,95,103,104,105,25733.039,87.498,8.216,17.394,9.296,92.488,102,25498.722,70.217,87.075,13.763,8.974,63.266,23595.787,82.854,40.133,25281.903,63.536,72.28,75.027
21,I18_entry,I18,1,2,m,588,b,,516,585,594,600,2580.627,25.489,22.976,20.119,12.911,131.019,581,2472.51,86.36,73.994,22.047,11.088,143.35,2067.722,55.379,53.301,2337.325,79.994,87.02,76.097
21,I18_entry,I18,2,1,1,151,f_c,,97,151,155,156,2502.473,30.009,136.96,17.895,7.969,41.966,150,2227.775,60.976,101.89,10.093,10.093,0,2170.993,53.851,118,2230.644,83.875,90.357,75.027
21,I18_entry,I18,2,2,1,209,f_c,,,202,211,216,2350.136,87.461,13.923,17.979,13.03,92.673,202,2413,72.483,66.55,11.113,11.113,0,1953.124,93.526,58.509,2306.38,82.006,96.028,78.111
21,I18_entry,I18,4,2,m,881,b,,872,880,885,/,,,,,,,,,,,,,,,,,,,,
21,I18_entry,I18,4,4,1,46,b,,39,44,51,/,,,,,,,,,,,,,,,,,,,,
21,I18_entry,I18,5,2,m,886,f_c,,717,884,890,/,,,,,,,,,,,,,,,,,,,,
21,I18_entry,I18,5,4,2,784,f_s,clear; f_s_corrected,,776,788,791,2119.5,119.92,63.017,11.596,6.149,53.796,775,2038.478,100.548,101.567,9.373,9.373,0,1876.384,93.232,87.226,2139.348,81.128,126.182,74.027
21,I18_entry,I18,7,3,1,472,f_c,,354,442,476,/,,,,,,,,,,,,,,,,,2192.478,97.606,84.869,73.101
21,I18_entry,I18,10,4,m,99,f_c,,36,93,104,110,2208.598,34.543,87.996,19.46,12.693,174.963,94,2067.635,76.985,91.022,16.274,16.274,0,2110.197,77.053,90.041,2192.478,97.606,84.869,73.101
30,I18_entry,I18,12,2,m,321,b,,214,308,322,/,,,,,,,,,,,,,,,,,,,,
30,I18_entry,I18,12,4,m,652,b,,646,652,657,661,3221.138,131.625,30.369,18.047,9.172,50.931,649,3385.658,86.535,117.972,18.141,12.914,47.323,2828.783,113.484,78.36,3169.216,93.699,113.601,71.088
30,I18_entry,I18,13,2,4,184,f_c,f_c corrected; last switch in video_12_ROI_2 frame [386],-277,183,190,191,3348.723,108.019,109.03,11.942,11.942,0,183,2593.205,78.427,92.979,8.031,6.976,49.52,3132.974,86.894,83.899,3228.788,84.172,66.854,70.032
30,I18_entry,I18,13,4,3,188,b,,86,112,/,/,,,,,,,,,,,,,,,,,,,,
50,I18_entry,I18,14,2,5,343,b,circling+back,340,342,344,346,5308.218,99.986,132.977,21.678,11.865,113.534,342,4627.944,88.694,97.027,13.371,6.856,8.051,5093.34,80.999,88.998,5190.26,80.8,69.325,73.101
50,I18_entry,I18,14,6,2,391,f_s,"big, video-7",243,391,395,/,,,,,,,,,,,,,,,,,,,,
80,I18_entry,I18,16,5,m,64,f_c,,35,62,65,/,,,,,,,,,,,,,,,,,,,,
