exposure_time,Field,Well,video_index,ROI_index,bug_index,frame,escape_type,notes,last_switch,on_hole_start,on_hole_end,outside_frame,outside_I,outside_x,outside_y,outside_major,outside_minor,outside_angle,inside_frame,inside_I,inside_x,inside_y,inside_major,inside_minor,inside_angle,hole_I,hole_x,hole_y,capsule_inner_I,capsule_inner_x,capsule_inner_y,capsule_inner_d
80,20240313_210710_628,J16,3,4,1,317,b,,313,316,318,319,20999.356,199.972,102.979,16.274,16.274,0,316,20175.434,142.499,137.994,19.7,8.79,28.393,19506.519,163.872,118.952,19309.915,130.042,131.038,66.143
80,20240313_210710_628,J16,3,6,2,428,b,,422,428,430,430,19572.124,6.502,119.472,13.207,13.207,0,427,19947.732,55.017,116.992,11.755,6.066,0,22367.196,34.168,116.659,19379.885,59.476,92.657,69.053
80,20240313_210710_628,J16,3,8,m,320,b,"[320] backward stuck on hole, then out of focus",,,,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,3,8,2,668,f_c,,,,,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,4,3,2,189,f_c,,168,186,190,190,20955.786,40.008,91.985,17.898,7.968,170.543,185,18583.237,104.492,109.431,11.113,11.113,0,22110.411,93.7,90.929,19497.87,126.521,101.506,64.948
80,20240313_210710_628,J16,4,6,3,307,b,,305,306,311,313,20460.281,68.995,90.992,18.021,8.054,16.765,305,20054.542,176.52,84.021,17.782,6.874,148.283,19647.113,134.543,77.469,18317.194,156.94,102.776,71.898
80,20240313_210710_628,J16,4,11,1,79,f_s,"same bug, escape via skating then enter via backward",68,78,81,81,19998.103,90.51,36.504,11.113,11.113,0,77,18456.903,56.589,65.984,14.051,6.525,2.02,17317.532,80.985,60.262,18979.042,73.504,89.541,73.101
80,20240313_210710_628,J16,4,11,2,171,f_s,"same bug, escape via skating then enter via backward",154,169,171,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,5,1,4,482,b,,466,481,482,483,19642.114,80.513,191.981,16.389,8.857,49.04,481,20210.13,107.504,131.498,9.373,9.373,0,20437.804,96.538,167.671,19169.01,122.272,140.891,68.078
80,20240313_210710_628,J16,5,6,m,463,f_s,,444,463,/,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,6,6,m,407,f_c,,402,406,408,409,21034.833,152.501,15.004,16.065,9.035,27.178,405,19689.302,118.56,87.049,16.176,6.769,102.11,20442.769,113.037,64.758,18967.101,91.648,94.408,66.956
80,20240313_210710_628,J16,6,6,5,498,f_c,,490,497,498,499,20408.477,123.011,22.005,13.831,7.917,55.062,497,19743.048,118.975,90.973,19.849,7.954,97.083,18713.692,110.005,65.7,19119.033,89.695,97.52,66.956
80,20240313_210710_628,J16,8,6,6,203,b,,199,203,205,205,18855.957,137.579,124.472,9.373,9.373,0,202,20096.483,114.985,70.961,11.79,6.264,123.431,20909.827,128.017,98.045,19047.176,94.786,86.559,69.053
80,20240313_210710_628,J16,8,12,2,141,f_s,,135,140,142,143,19512.686,89.995,127.987,21.922,12.197,88.053,140,19368.459,89.115,73.723,14.01,8.906,114.471,18683.454,86.546,94.44,18853.704,82.924,69.89,64.109
80,20240313_210710_628,J16,9,5,m,100,b,,/,/,,/,,,,,,,,,,,,,,,,,,,,
80,20240313_210710_628,J16,9,6,7,411,f_c,,399,410,411,413,20754.057,192.555,95.994,15.558,7.202,165.215,410,19932.818,118.982,64.021,14.307,5.874,100.071,21085.475,125.08,81.25,19064.321,89.093,71.069,70.032
80,20240313_212243_951,J17,0,3,m,103,f_s,two bugs,94,100,103,105,24971.641,29.494,43.973,21.893,9.073,147.204,100,26263.062,82.552,80.569,11.113,11.113,0,28391.913,70.711,70.709,23565.679,100.625,97.346,71.088
80,20240313_212243_951,J17,0,4,m_1,699,f_c,f_c corrected,674,699,700,701,26273.86,111.975,37.998,16.682,7.633,14.058,698,24925.705,51.448,37.01,15.848,7.07,162.701,24321.652,68.645,46.331,24786.082,40.405,62.448,63.078
80,20240313_212243_951,J17,0,6,1,250,f_c,,151,249,252,252,26422.29,98.506,129.007,19.378,9.067,114.069,248,25877.611,67.47,78.015,22.038,10.977,98.661,22474.763,80.494,101.49,24655.079,72.622,63.593,71.088
80,20240313_212243_951,J17,1,2,1,185,f_c,,72,182,183,186,26805.028,30.066,38.119,26.038,12.029,139.351,181,25243.69,120.461,78.03,19.983,11.087,16.695,26529.333,93.632,81.537,24524.606,129.167,106.961,84.017
80,20240313_212243_951,J17,1,8,m_1,327,b,,319,326,328,/,,,,,,,325,,,,,,,,,,,,,
80,20240313_212243_951,J17,1,8,m_2,445,b,,388,445,446,447,25915.674,82.998,19.02,21.823,10.035,70.213,444,24902.27,103.984,99.946,15.646,8.138,115.67,25482.175,84.465,65.512,24967.093,90.208,93.106,74.027
80,20240313_212243_951,J17,2,10,1,336,f_s,outfield,296,335,336,337,25475.641,26.996,117.982,19.917,8.183,16.203,335,25865.212,58.869,96.599,12.136,6.924,61.151,25811.768,50.647,110.282,24848.41,76.144,84.016,64.109
80,20240313_212243_951,J17,4,15,1,729,f_c,,696,728,729,731,27450.027,8.113,67.03,17.403,8.121,173.299,728,23667.708,51.555,90.002,11.91,6.949,103.658,22813.17,47.469,76.25,24905.363,78.246,74.165,70.032
80,20240313_212243_951,J17,8,8,3,503,b,index_3 slower,500,502,505,/,,,,,,,,,,,,,,,,,,,,
80,20240313_213725_340,J18,0,1,1,716,b,,710,715,721,724,23085.646,128.527,150.013,22.056,11.084,154.544,715,23748.333,92.513,95.505,9.373,9.373,0,21756.33,91.582,113.53,23314.223,66.584,79.543,77.102
80,20240313_213725_340,J18,0,4,1,23,b,,18,22,24,24,24378.348,14.598,87.039,25.711,9.112,168.28,22,23895.25,55.022,97.003,19.772,10.046,157.486,22422.9,35.948,91.169,22790.25,71.598,97.541,66.956
