frame,x,y,z,capsule_radius,angle_xy,angle_z,velocity
0,-2.1383424499999997,-2.3428102600000003,-2.36024079,4.041261108040427,57.48835372924805,24.28962540660803,
1,-1.140524835,-1.93628627,-2.4398426250000003,4.041261108040427,83.70538330078125,1.4899080742941906,51.447046932371364
2,-0.8700572200000001,-1.931255555,-2.599046295,4.041261108040427,55.6259651184082,20.18000184320901,14.94690887120933
3,-1.6682628199999998,-2.2858621649999997,-2.758249965,4.041261108040427,59.93293762207031,19.112277076864864,42.27712901554573
4,-1.9557980549999998,-2.27123782,-2.6241102200000004,4.041261108040427,74.52452850341797,69.90173509414078,15.124866073644743
6,-2.0846951849999997,-2.21922227,-2.54288805,4.041261108040427,58.06719970703125,16.407101314135975,3.8330470510925214
7,-2.011669295,-2.0806877699999995,-2.60696821,4.041261108040427,50.08590316772461,23.42155033585162,8.057454570994844
8,-2.1540807500000003,-1.8532625399999998,-2.0973055449999998,4.041261108040427,36.34709167480469,83.88770073409277,27.427880689494955
9,-2.904394215,-0.9753852950000002,-0.828041065,4.041261108040427,94.7187070582241,,81.71449485541508
10,-3.489652865,0.14328306499999943,-0.991454905,4.041261108040427,170.09814453125,83.21231146856262,60.62132323130172
14,-2.6059248650000004,1.8248093099999996,-1.992989395,4.041261108040427,120.34054565429688,0.6484809695182159,25.564979415505412
15,-1.3789225700000003,3.1528472399999994,-1.3682096750000001,4.041261108040427,108.6777801513672,14.746562059107216,91.09523901597129
16,-0.663376645,3.3548153049999994,-0.366675185,4.041261108040427,1.5710882907763863,,59.39735910976438
17,-0.026010404999999626,3.49485002,0.0,4.041261108040427,-0.8224351493315105,,35.64425313268564
18,0.6664807900000005,3.42231302,0.254172225,4.041261108040427,70.0125732421875,0.0,35.29625803151324
19,1.2733352500000001,3.1809696149999995,0.74507543,4.041261108040427,53.45793914794922,0.8148929963239003,38.90522618590362
20,1.58768462,2.8186294049999994,1.73642686,4.041261108040427,37.601959228515625,0.0,52.44333108201626
21,1.715285625,2.3375025299999996,2.7690546449999998,4.041261108040427,123.41421508789062,0.3695264113862884,54.58740787987392
22,1.6878368599999996,1.7521039199999997,3.25793391,4.041261108040427,135.01670837402344,9.123301768480205,36.34203550024897
23,1.4437708399999996,1.0130850599999994,3.642401075,4.041261108040427,126.97420501708984,13.880808442528984,41.33629840466208
26,0.4157163049999997,1.026283415,3.7846525150000003,4.041261108040427,94.51470184326172,15.63932718382481,16.475133737488736
27,-0.2541646350000004,1.26127023,3.8322079450000004,4.041261108040427,74.87348937988281,15.662888581862845,33.88056908131117
28,0.03810679499999958,0.6535941299999997,3.9726225700000004,4.041261108040427,63.52556991577149,15.750739788095796,32.79874376152413
29,0.1722064849999998,0.052787574999999975,4.034842025,4.041261108040427,34.177452087402344,37.376053612512194,29.463167519698025
32,-1.3223457500000002,-1.0901793949999998,2.4703103625000002,4.041261108040427,41.807090759277344,27.181093398652294,38.841302925562054
33,-2.907812675,-1.6952601400000002,-0.6601610724999996,4.041261108040427,19.36272621154785,84.00471002078602,169.56446465146797
34,-3.1031540900000003,-0.9816286900000004,-2.2439825549999997,4.041261108040427,8.85535717010498,84.32066341778034,83.24374236145134
35,-3.1277338300000004,-0.5847109499999998,-2.0403134699999996,4.041261108040427,168.5155029296875,12.488511109372286,21.276121846774725
36,-2.8464455,-0.28780717499999975,-1.7765496349999994,4.041261108040427,157.35911560058594,18.34165529288236,23.174695758219734
37,-2.42559523,0.38073004999999993,-1.7935525449999994,4.041261108040427,153.77894592285156,14.505825660789865,37.62646310029936
38,-1.8699238749999996,1.00069155,-1.9559584699999992,4.041261108040427,148.3219451904297,8.654811082798366,40.39203017201523
39,-1.1943759199999997,1.533057135,-2.122942374999999,4.041261108040427,154.33038330078125,5.318462510352182,41.72205244412047
40,-0.6216689899999999,2.0689587949999995,-2.290192614999999,4.041261108040427,134.0653076171875,10.561298287844862,38.18906480116247
