LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID129955 ? ID129962,0,129955,129962,0.12929003195455657,35.57078933472712,12.31603904314269,0.3595692311009892,0.30654960684478283,15.26168579109685,6.019855608146371,0.0,
ID129905 ? ID129912,0,129905,129912,1.071550233971342,4.915576161923134,35.45641347972529,1.0351571059367473,0.0729880016297102,9.81620839477178,3.915460348220952,0.0,
ID129938 ? ID129945,0,129938,129945,2.2216309282201565,2.2252801579202157,51.05337906529023,1.4905136457678463,0.2189640048891306,11.866591681718592,5.860538771944506,0.0,
ID129949 ? ID129955,0,129949,129955,1.7045388883301775,9.533822529858323,44.71899065067934,1.3055799049963115,0.27735440619289875,14.52693722319641,6.2140916725312,0.0,
ID130019 ? ID130028,0,130019,130028,0.7376420860152342,25.53911078455002,29.41788048655759,0.8588609235581941,0.5693064127117395,8.93197679888408,4.826187121628957,0.0,
ID130034 ? ID130038,0,130034,130038,1.2834672555011206,2.998895904948111,38.80439638162344,1.1329021385367408,0.6276968140155077,11.304796332608609,4.203612997956238,0.0,
ID129968 ? ID129975,0,129968,129975,0.47385532101664735,27.709613359336874,23.578241762569245,0.688371499276842,0.364940008148551,14.830507441312335,5.014854190002678,0.0,
ID130048 ? ID130054,0,130048,130054,0.16121355634215595,99.57134316108315,13.75274260546754,0.4015140798803399,0.7152824159711599,13.117787612982841,3.8643651713275666,0.0,
ID130054 ? ID130063,0,130054,130063,0.9589398935075789,9.64110092880393,33.54163501149168,0.9792547643527597,0.744477616623044,12.52362977429683,4.204762927744134,0.0,
ID130038 ? ID130042,0,130038,130042,0.7960466673606866,2.2395962753407455,30.560313131461548,0.8922144738574278,0.6568920146673918,12.289576204823291,3.9703685712717682,0.0,
ID129975 ? ID129987,0,129975,129987,2.0873782862223713,0.4080895767662582,49.48677090811992,1.444776206276381,0.39413520880043507,13.875705844462788,4.53956648683711,0.0,
ID129945 ? ID129949,0,129945,129949,1.696501546145029,3.2212321901747987,44.613435263792546,1.3024981942962643,0.24815920554101467,13.240260479250647,6.103383136802497,0.0,
ID129987 ? ID129995,0,129987,129995,2.148502004627585,13.418999827224575,50.20609195839064,1.4657769286721583,0.42333040945231915,12.49649770950605,4.1716129644214455,0.0,
ID130009 ? ID130015,0,130009,130015,0.33110127582641924,14.550384477625457,19.70919846418774,0.5754140038497666,0.5109160114079714,8.443092677023511,5.145157458858979,0.0,
ID129933 ? ID129938,0,129933,129938,1.3252763695328789,11.550539942351593,39.431360587084555,1.1512064843167271,0.1897688042372465,10.563160067885,5.650950173919034,0.0,
ID129962 ? ID129968,0,129962,129968,0.5184751301766823,26.408071836361664,24.6633746563112,0.7200521718435979,0.3357448074966669,15.240974093167083,5.515514678327236,0.0,
ID130070 ? ID130075,0,130070,130075,1.4900778619290778,2.8060309546878233,41.81123703175485,1.2206874546455688,0.8028680179268122,11.451499211725077,6.40467125922407,0.0,
ID129891 ? ID129897,0,129891,129897,1.7697668063809733,NaN,45.56659305109583,1.3303258271494895,0.01459760032594204,12.194479564260082,3.646719646681022,0.0,
ID129918 ? ID129928,0,129918,129928,0.32624973851270034,42.337403123338866,19.564268827969947,0.5711827540399835,0.13137840293347836,8.9261478781643,4.677638761836892,0.0,
ID129928 ? ID129933,0,129928,129933,1.331563712714163,25.96684687426715,39.52478455322885,1.1539340157540046,0.16057360358536243,9.501744917444421,5.245479420909007,0.0,
ID129995 ? ID130003,0,129995,130003,2.6257428071340185,11.580052664617892,55.502766121290016,1.6204143936456559,0.4525256101042032,10.984758338210032,4.3406167303897805,0.0,
ID130042 ? ID130048,0,130042,130048,0.34913941411006594,6.2824275107692795,20.238949883819817,0.5908802028415455,0.6860872153192759,13.013978304742974,3.8264499772144442,0.0,
ID130003 ? ID130009,0,130003,130009,2.5297853161986703,0.48007963588659053,54.47915581459161,1.5905298853522591,0.4817208107560873,9.435316293730104,4.760906589665144,0.0,
ID129912 ? ID129918,0,129912,129918,0.336961526803906,10.745309736911434,19.882852661765728,0.5804838729920979,0.10218320228159428,9.084601917277837,4.235870361888953,0.0,
ID130063 ? ID130070,0,130063,130070,2.0355220340783213,20.888763501095298,48.86821090553119,1.426717222885573,0.7736728172749281,11.869282963914529,5.149791111768225,0.0,
ID129897 ? ID129905,0,129897,129905,1.5338993749885388,9.397423028810039,42.42159279358535,1.2385069135812439,0.04379280097782612,10.922253174235856,3.6655359936400935,0.0,
ID130015 ? ID130019,0,130015,130019,0.25471974242175477,98.3143964182357,17.2870082413892,0.5046976742781314,0.5401112120598555,8.365839183237004,5.120814145242289,0.0,
ID130028 ? ID130034,0,130028,130034,2.1299201729199386,2.8442946272165606,49.9885108094032,1.4594246033694027,0.5985016133636236,10.05109528199219,4.527814538910194,0.0,
ID130075 ? ID130081,0,130075,130081,1.8281133782470138,9.338938670590277,46.3116334320907,1.352077430566391,0.8320632185786963,11.281352700899967,7.66774131065047,0.0,
