frame,x,y,z,capsule_radius,angle_xy,angle_z,velocity
17,1.90289236,-1.9212264700000006,2.35812746,4.188828375613625,103.88455963134766,9.029660622703885,-1.7325404775064634
18,-0.410962115,-1.3348342150000003,2.5999772649999997,4.188828375613625,12.130906105041504,1.520987989245136,114.24870170873555
19,-2.4558271750000005,-1.1102110600000001,3.019188875,4.188828375613625,23.91744613647461,2.7593672178741167,99.97354581300867
20,-1.8444791550000006,-1.8063262399999997,3.199912785,4.188828375613625,30.488473892211918,6.857132294623825,44.94854395019622
21,-1.1726267150000003,-2.522056185,2.54931331,4.188828375613625,25.972225189208984,27.17464301337681,56.080091984122966
22,-0.43047618499999984,-3.1463576000000004,1.2481407,4.188828375613625,78.90428161621094,0.0,77.27780417467932
23,0.35219422999999983,-3.48472151,0.5659638499999999,4.188828375613625,69.36095428466797,87.61403383184295,51.999223105627735
24,0.9479053399999993,-3.500692235,0.265499015,4.188828375613625,135.0,88.48342423969102,31.780351168951018
25,1.5221237699999994,-3.24971559,-1.06721929,4.188828375613625,119.25775146484376,25.258415898177297,70.1287148670909
26,1.9738792350000005,-2.8441213249999997,-2.29445724,4.188828375613625,8.099080085754395,1.3699683385711945,65.19989660061741
27,1.9472157700000001,-2.1280775699999994,-2.9246950800000002,4.188828375613625,41.405067443847656,14.336488948847434,45.44138120306331
28,1.8680280849999997,-1.423856635,-1.69745713,4.188828375613625,49.481973026261116,,67.48327752324438
29,1.2657367000000002,-0.8084203650000004,-2.05957873,4.188828375613625,93.1489028930664,7.751683578796661,44.48365309227385
30,0.13506531499999985,-0.26312759500000027,-3.6829372200000003,4.188828375613625,104.3273696899414,8.216002748695512,97.71835567648505
31,-0.8019535250000001,-0.09427295000000013,-3.1322538900000003,4.188828375613625,123.17882537841795,10.274506196475436,52.375937586635736
32,-1.63816981,-0.1850961800000004,-2.5784473200000004,4.188828375613625,141.74234008789062,11.433534260074259,47.956146146736636
33,-2.32862118,-0.5819251550000004,-1.833871175,4.188828375613625,156.31651306152344,13.958983862349877,51.915463410510874
34,-2.91396613,-1.031454665,-1.91113553,4.188828375613625,17.6009578704834,82.48282993817644,35.33690366395091
35,-2.92486173,-1.7063598850000004,-1.146816275,4.188828375613625,-54.952015902720056,,48.557413796167666
36,-2.6802335,-2.10561968,0.06578321,4.188828375613625,18.745006561279297,85.26319997569928,61.89833054208443
37,-2.323403485,-2.3948748749999997,0.06578321,4.188828375613625,54.21520233154297,0.0,21.873488412400302
40,-0.5182526399999996,-3.0236743499999994,0.0,4.188828375613625,106.04256439208984,87.07831322994222,30.35975518869942
41,1.2841648100000005,-3.20122575,0.0,4.188828375613625,104.1477508544922,87.40258197432252,86.24482847825533
42,1.9207141500000002,-2.928539465,0.0,4.188828375613625,38.44767572792393,,32.97607434332435
43,2.533520195,-2.320656265,-0.109974945,4.188828375613625,147.28103637695312,85.8228772395429,41.43535035284353
44,2.87927305,-1.6198278099999999,-0.57877238,4.188828375613625,175.81649780273438,86.37703794936357,43.39547075912081
45,2.9183872600000003,-0.9501034399999999,-1.7963362649999999,4.188828375613625,48.95726776123047,11.234038676592972,66.19771230148646
46,2.8087575350000002,-0.288869955,-2.95343082,4.188828375613625,79.43370056152344,8.054103141340475,63.67641068540667
47,-0.2979019300000001,0.8267796250000004,-2.283130755,4.188828375613625,151.4301300048828,3.463255756081557,160.39427889695327
48,-1.2387587950000003,1.22293297,-2.432670635,4.188828375613625,108.8365249633789,5.829553211908134,49.13102683559572
49,-1.2425862250000002,1.1944457399999995,-2.45812986,4.188828375613625,151.80645751953125,17.112916352243374,1.8284372663322648
50,-2.1534490250000005,1.01265494,-2.201626115,4.188828375613625,138.95262145996094,13.74659556998234,45.885421399653964
51,-1.3690201200000005,0.2586971450000002,-2.7376931650000005,4.188828375613625,153.59817504882812,3.8017709118504017,57.75758523747021
52,-1.9251278400000005,-0.3486975050000001,-2.31286155,4.188828375613625,178.94667053222656,5.667210449525905,44.12582396488349
53,-2.272440115,-1.4180740850000002,-1.96575779,4.188828375613625,14.538385391235352,17.519876806685417,56.03434941076164
54,-2.35709375,-2.2653662400000005,-1.0799467550000001,4.188828375613625,39.08213806152344,1.2909476384794731,58.51006122312127
55,-1.9258679550000002,-2.7760871700000003,-1.20775026,4.188828375613625,65.08494567871094,9.072325441978053,32.406337756152446
56,-1.5118863449999997,-3.1741115300000002,-0.9994647850000001,4.188828375613625,50.41094970703125,87.72008413358103,29.090016040899897
57,-1.1540428349999998,-3.33284892,0.0,4.188828375613625,162.02072358267708,,51.11410456035908
58,-0.31519359999999974,-3.3968378249999995,0.11089061999999988,4.188828375613625,107.9301986694336,87.78013857518025,40.40776705796003
59,0.6887075250000008,-3.31791386,0.11089061999999988,4.188828375613625,105.95719909667967,86.49421822616377,47.9523209208398
60,1.6006399700000005,-3.022944765,0.0,4.188828375613625,118.15885925292967,0.0,45.944960685200094
61,2.42924329,-2.38405732,0.07451693999999989,4.188828375613625,126.16090393066406,0.0,49.95039270727877
62,2.817099225,-1.4635952800000003,1.479278435,4.188828375613625,27.772624969482425,85.2989992251364,82.07951251482875
63,2.7804159250000002,-0.9029739650000002,2.9453449249999997,4.188828375613625,138.41818237304688,84.80246251038938,74.76331324775961
64,3.0997356099999998,-0.6432564000000003,1.29100752,4.188828375613625,171.96432495117188,86.63206160704598,81.17966028194766
65,3.4282260049999995,-0.3432401750000005,-1.3805501350000002,4.188828375613625,98.92142486572266,8.28966676814151,128.96883888486306
66,3.30189954,-0.20409548000000033,-2.16413753,4.188828375613625,115.37603759765624,2.934404002921866,38.37187732451976
67,3.00550483,-0.3705244649999999,-1.033163305,4.188828375613625,92.90879958414291,,56.23588013819251
68,2.76281298,-0.7306969199999997,1.224000095,4.188828375613625,148.57261657714844,26.735168732013324,109.45557031201355
