frame,x,y,z,capsule_radius,angle_xy,angle_z,velocity
0,0.6766701199999998,-1.3907817000000007,1.11224359,4.234194251239857,131.77598571777344,5.721977423533091,
1,0.41637018999999986,-1.4453092450000002,0.972523405,4.234194251239857,108.02227783203124,30.123938183075147,14.305623968869678
2,-0.14380017,-1.5743632300000003,0.62539558,4.234194251239857,108.57089233398438,7.047527176109054,31.977298146121445
3,-0.9415040800000001,-1.6317947100000008,0.04464262499999999,4.234194251239857,117.74827575683594,86.75452376492623,47.065928037253876
4,-1.625685415,-1.6166303900000005,-0.47570848,4.234194251239857,91.62461853027344,84.90820827996498,40.93851726127115
5,-2.030481925,-1.8829298650000004,-0.311357135,4.234194251239857,-78.19134148133676,,24.36434467363906
6,-2.3447672,-1.9975509750000002,-0.6353874325,4.234194251239857,107.63268280029295,47.03745581327217,22.177845712503512
7,-2.422864245,-1.7554684000000003,-1.9061622974999999,4.234194251239857,107.53211975097656,0.8586146065016915,61.713475139300044
8,-2.373947375,-1.5414788250000004,-2.74754891,4.234194251239857,111.31368255615234,3.242369809234934,41.4071052781236
9,-2.39286579,-1.3186858950000002,-3.0781746500000002,4.234194251239857,58.185791015625,3.5426439710405817,19.00638250804921
10,-2.39842613,-1.0834036399999998,-3.024715765,4.234194251239857,56.83388519287109,30.161829685467637,11.492530284720798
11,-2.38306307,-0.8625984600000001,-2.71690181,4.234194251239857,37.63209915161133,48.040676498455746,18.053861341627616
12,-2.321787075,-0.6841933250000003,-2.775352455,4.234194251239857,8.463052749633789,8.29806629930341,9.403962311822948
13,-2.185652405,-0.4496404650000003,-2.986938675,4.234194251239857,21.155925750732425,3.2137765051040788,16.37959718951835
14,-2.2007946150000004,-0.17161077999999996,-2.9312746350000003,4.234194251239857,174.06471252441406,9.301556792545188,13.521485180371453
15,-2.1342838850000003,0.06563432999999996,-2.9867411,4.234194251239857,170.4307403564453,2.6095726785639104,12.02656245369811
16,-1.959716765,0.3326620899999999,-3.05685188,4.234194251239857,177.9827117919922,25.76195621419034,15.55423730413029
17,-1.8051513800000003,0.6703881500000004,-2.8767690249999998,4.234194251239857,145.7384033203125,1.2279901167777862,19.655720723535353
18,-1.5060111650000003,0.9491710649999998,-2.890402065,4.234194251239857,164.71546936035156,7.491369455594858,19.4825721123493
19,-1.2138142200000002,1.252823265,-2.79762863,4.234194251239857,136.09947204589844,13.911425577543103,20.547529298147115
20,-0.8004768150000001,1.5761806249999997,-2.6683017700000002,4.234194251239857,142.95799255371094,19.538326082198754,25.73778597037941
21,-0.3478778,1.8922292499999998,-2.8450922800000003,4.234194251239857,131.4987030029297,4.530008788830027,27.60210835917617
22,0.11911762999999986,2.2492415350000003,-2.81467019,4.234194251239857,126.4390640258789,14.104006344368273,28.02930143386091
23,0.7351539150000002,2.6391026350000004,-2.663832295,4.234194251239857,126.66380310058594,2.9100207945013983,35.45123610348375
24,1.2318056400000006,2.8530295050000007,-2.44500427,4.234194251239857,106.37996673583984,51.71398626510293,27.77922951131554
25,1.5510854749999998,2.7570197800000003,-2.2352687099999997,4.234194251239857,117.18367004394533,16.36314025247817,18.75649459467526
26,1.8228609699999994,2.6286198350000003,-2.20862409,4.234194251239857,77.29414367675781,22.5818899380546,14.369468872464967
27,1.981038195,2.453015075,-1.71667653,4.234194251239857,104.86769104003906,1.2373188792007632,25.989247211050174
28,2.281813025,2.373190995,-1.194110345,4.234194251239857,59.60898971557617,28.990893345929884,28.962122414068773
29,2.6505838649999998,2.196365565,-1.0965556950000002,4.234194251239857,71.01425170898438,8.37541789576805,20.02130808596294
30,3.0396312300000004,1.763121065,-0.64674286,4.234194251239857,26.21205139160156,87.5778692682797,35.037726202266796
31,3.4465605050000008,1.3633201050000001,0.11776297999999996,4.234194251239857,0.0,88.5071953934481,45.423215763546594
32,3.5008643350000006,1.030653795,0.47075422499999997,4.234194251239857,177.22372436523438,26.222753716197595,23.24173462954796
33,3.4139694300000003,0.6212048550000002,0.294634355,4.234194251239857,5.496932029724121,33.73212873378196,21.624363075878414
34,3.2973684250000006,0.06326542499999999,0.45428746,4.234194251239857,166.5738525390625,18.26259640562458,28.18715053790346
35,3.085344530000001,-0.48297788499999994,0.9039718999999999,4.234194251239857,165.63323974609375,6.167703763281019,35.172138444889676
