LABEL,TRACK_INDEX,TRACK_ID,DIVISION_TIME_MEAN,DIVISION_TIME_STD,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Mean cell division time,Std cell division time,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,Mean div. time,Std div. time,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,(sec),(sec),,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_617,0,0,NaN,NaN,2,0,0,0,0,0,0.040091998875141144,0.0,0.040091998875141144,2.1193790617551707,27.250247328313797,28.93537919360333,0.0,52.86289337569751,52.86289337569751,52.86289337569751,52.86289337569751,NaN,0.9749999940395355,2.1193790617551707,2.1193790617551707,1.0,52.86289337569751,1.0,NaN
Track_618,1,1,NaN,NaN,10,0,0,0,0,0,0.3608279898762703,0.0,0.3608279898762703,5.551418808625569,32.26092169985215,29.161640264550368,0.0,47.107260884811524,110.0009266884914,27.41008356062779,43.18537159531916,24.634304666556687,0.9260000050067901,16.997618253643594,6.8007052467131635,0.3265998050894908,15.385222223279236,0.32659980508949077,16.182153200188147
Track_619,2,2,NaN,NaN,11,0,0,0,0,0,0.40091998875141144,0.0,0.40091998875141144,20.438282964089428,47.33379204552948,27.536950821336173,0.0,61.72601061186823,81.27975199740119,34.366542774411215,64.05139505039035,13.327760390295188,0.9427272785793651,24.747191480179715,21.427998063722214,0.825882928188383,50.97845838951694,0.8258829281883829,12.426917796284737
Track_620,3,3,NaN,NaN,11,0,0,0,0,0,0.40091998875141144,0.0,0.40091998875141144,14.28736581958368,8.2303682682108,47.42315152653425,0.0,62.15204041032144,77.15664595134886,37.0005055639611,67.71672829181159,13.16191266927369,0.8572727225043557,24.917995342183342,18.252862968671867,0.5733754109583924,35.63645171217067,0.5733754109583924,19.317523847907406
Track_621,4,4,NaN,NaN,11,1,0,0,0,1,0.4410119876265526,0.0,0.4410119876265526,7.930639743116939,17.990095744520318,37.4310426439237,0.0,23.545917960558256,45.5692931654289,2.044514770511454,21.420866432666717,15.27334324928275,0.9063636443831704,10.45882117783321,7.930639743116939,0.7582728118466556,17.982821251182354,0.7637341335048122,14.843894513949474
Track_622,5,5,NaN,NaN,7,1,0,0,0,4,0.40091998875141144,0.0,0.40091998875141144,8.393649147799625,56.801890731434476,51.18122749782979,0.0,46.504165139773264,57.01168902979352,24.21058910596877,54.96807749984609,14.314059040995046,0.8842857224600655,15.069273263651024,8.840247047053987,0.5570042430676574,20.93597072558053,0.45019560425727934,7.994912064572387
Track_623,6,6,NaN,NaN,55,0,0,0,0,0,2.1649679392576218,0.0,2.1649679392576218,2.053376507480872,58.29457381596984,5.674863339101856,0.0,12.682590186268422,33.40639263681454,4.396411572216284,10.55240442533286,6.515860548277061,0.9960000005635348,27.457401140014483,2.053376507480872,0.07478408087531728,0.948455850198403,0.07478408087531728,22.4176649806923
