LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID125224 ? ID125266,2,125224,125266,1.4979496690131282,2.9237591762401567,41.92153209128308,1.2239075410394071,0.6276968140155077,15.099580610766,8.082327667030201,0.0,
ID125165 ? ID125185,2,125165,125185,1.6508788831196834,10.758118961967684,44.00947033840654,1.2848653171129196,0.5401112120598555,15.154351745168949,8.538043716411842,0.0,
ID125266 ? ID125295,2,125266,125295,1.0639447685911876,6.167109740659852,35.33036118959164,1.031476984033666,0.6568920146673918,14.93501758310197,9.193365503370249,0.0,
ID125056 ? ID125067,2,125056,125067,1.1752676078329067,8.747201983344027,37.132733342771346,1.0840976006951157,0.364940008148551,15.0080847763738,7.18659195541613,0.0,
ID124884 ? ID124905,2,124884,124905,0.5042924137551407,1.7415377785534458,24.323706426413835,0.7101354897166742,0.0729880016297102,14.97798478524879,9.550006120806351,0.0,
ID124842 ? ID124858,2,124842,124858,0.2667691773684789,NaN,17.691162039820426,0.5164970255175522,0.01459760032594204,15.278090634567022,7.771192792165515,0.0,
ID125359 ? ID125375,2,125359,125375,0.6750321083096822,82.24439325447382,28.141727344742684,0.8216033765203756,0.8028680179268122,15.337760764143724,7.248777073868058,0.0,
ID125084 ? ID125102,2,125084,125102,1.0539028263745196,105.76369019952993,35.16323476421695,1.0265976945106197,0.42333040945231915,15.112878333586245,6.719508329692246,0.0,
ID125315 ? ID125332,2,125315,125332,0.8735971095719549,2.5160814233609563,32.014308808868385,0.9346641694062926,0.7152824159711599,14.690397990520871,8.934082584584072,0.0,
ID125067 ? ID125084,2,125067,125084,0.19894732341308743,2.388524002206874,15.277686215280305,0.446035114551632,0.39413520880043507,15.109582765097525,6.42867567547064,0.0,
ID124858 ? ID124884,2,124858,124884,1.4268139157557795,6.498994440590658,40.91402477245024,1.1944931627078406,0.04379280097782612,15.153287400320075,8.614258575401056,0.0,
ID124960 ? ID124988,2,124960,124988,0.039633310579945236,1.4552242608138142,6.818968918315693,0.19908116580918758,0.1897688042372465,15.14138948520645,6.870706346154737,0.0,
ID125022 ? ID125034,2,125022,125034,0.06873827925873645,19.353570546770527,8.980238349425763,0.26217986051322945,0.27735440619289875,15.134319498351374,9.12821632807574,0.0,
ID125102 ? ID125122,2,125102,125122,2.689021912298383,0.34420121631143036,56.167579179570296,1.6398237442781414,0.4525256101042032,15.06476880857226,8.051834789924218,0.0,
ID125034 ? ID125047,2,125034,125047,0.15331659407874076,105.87415130238766,13.411677971827482,0.39155662946595704,0.30654960684478283,15.116474691584944,9.065512396478411,0.0,
ID125047 ? ID125056,2,125047,125056,1.3628724563185353,9.493282846347634,39.98675326020344,1.1674212848490193,0.3357448074966669,14.98462862343178,8.302952728843781,0.0,
ID125185 ? ID125203,2,125185,125203,0.6127958818171004,0.10282330023793544,26.813064605872047,0.7828128012603655,0.5693064127117395,15.182108412113255,7.504578428299446,0.0,
ID125142 ? ID125165,2,125142,125165,0.191622592435237,97.86727358540915,14.993806135861691,0.43774717867193275,0.5109160114079714,15.064883170992996,9.386622648639221,0.0,
ID124905 ? ID124922,2,124905,124922,0.1942463339920532,101.38115118223885,15.096106504424352,0.4407338584588813,0.10218320228159428,14.917496763655931,9.680631802738306,0.0,
ID125203 ? ID125224,2,125203,125224,0.1313306381802648,103.44939098823586,12.412851589858272,0.3623956928279706,0.5985016133636236,15.16625394476603,7.292494325798511,0.0,
ID125006 ? ID125022,2,125006,125022,2.1181793061817844,9.726627102097407,49.85054331664509,1.4553966147348922,0.24815920554101467,15.17791921106517,8.288000586925172,0.0,
ID124922 ? ID124941,2,124922,124941,1.2527084028435154,2.6027602304260187,38.3365944723856,1.1192445679312075,0.13137840293347836,14.937825303425306,8.90136408277313,0.0,
ID125122 ? ID125142,2,125122,125142,0.5227304328954071,0.5308978967856882,24.76437821262284,0.7230009909366703,0.4817208107560873,15.011972250923733,9.23203667966046,0.0,
ID124941 ? ID124960,2,124941,124960,1.912171883720322,2.3730009931218814,47.36439558344967,1.3828130328140251,0.16057360358536243,15.045010081110457,7.655680304918226,0.0,
ID125295 ? ID125315,2,125295,125315,0.09130938353720831,95.40015980405862,10.350140397616721,0.30217442568359143,0.6860872153192759,14.793209889376158,9.543583455590355,0.0,
ID124988 ? ID125006,2,124988,125006,0.6454313505509089,97.05985275317813,27.51779075024744,0.8033874224500337,0.2189640048891306,15.216653229294323,7.16969288159545,0.0,
ID125332 ? ID125347,2,125332,125347,1.9596764057631153,16.947169216328433,47.94912843898713,1.3998844258591905,0.744477616623044,14.817752441266563,7.80809237724576,0.0,
ID125347 ? ID125359,2,125347,125359,0.22356126888984137,19.730924378064827,16.19521875462606,0.472822661142464,0.7736728172749281,15.214171909306202,6.991880600336135,0.0,
