LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_249,0,0,9,0,0,0,0,0,0.32073599100112915,0.0,0.32073599100112915,3.3717233872344727,3.8524479094801793,50.56341348106419,0.0,67.48694717657253,99.18266097746881,54.94136300821464,58.48741911134905,16.97245421927597,0.8544444508022733,21.645492882318845,7.3108769159179205,0.155770229191162,10.512457229106548,0.15577022919116204,29.41655294643173
Track_250,1,1,10,0,0,0,0,0,0.3608279898762703,0.0,0.3608279898762703,12.184211340776676,25.167917906986382,56.3600411363082,0.0,40.495250679151034,71.71835543888349,28.67496648059204,36.55489153123622,13.868385957207588,0.908000010251999,14.611819902093739,12.184211340776676,0.8338599450593277,33.76736750648059,0.8338599450593278,5.258487245395328
Track_251,2,2,5,0,0,0,0,0,0.16036799550056458,0.0,0.16036799550056458,10.691198820617272,35.50306045416721,5.085374954302257,0.0,69.40902480728246,75.70710334722614,62.46757180033468,70.90612788452316,5.502112724726247,0.9740000128746032,11.130986177992849,10.691198820617272,0.9604898119229468,66.66666118290188,0.9604898119229467,6.130738653959795
Track_252,3,3,10,0,0,0,0,0,0.3608279898762703,0.0,0.3608279898762703,1.33030519759767,27.217946896020486,9.20679210830607,0.0,11.189906061531728,13.463703997056571,6.904931652977465,12.201512246578353,2.1385872873920486,1.0,4.037631311086786,1.7467015484778867,0.32947663991628784,3.6868126501323757,0.32947663991628784,11.989925340383811
Track_253,4,4,3,0,0,0,0,0,0.08018399775028229,0.0,0.08018399775028229,4.808375307726406,0.9079638728302672,14.887146690738836,0.0,60.16278923278102,68.97673413194101,51.348844333621024,68.97673413194101,12.464800414401228,0.9833333293596903,4.824092956492021,4.808375307726406,0.9967418437191466,59.96676946316858,0.9967418437191466,4.072048268675779
Track_254,5,5,18,0,0,0,0,0,0.6815639808773994,0.0,0.6815639808773994,4.006902830534422,0.499554795610302,20.666444908430385,0.0,11.271530003863077,98.39637604543435,0.8801144314850947,4.220436839754709,22.8708086767849,0.9933333330684238,7.682268860011969,4.006902830534422,0.5215780524671951,5.87898266774046,0.5215780524671951,35.0568231020815
Track_255,6,6,2,0,0,0,0,0,0.040091998875141144,0.0,0.040091998875141144,2.0691035371193687,38.03677815814377,25.320246630012875,0.0,51.60888943360484,51.60888943360484,51.60888943360484,51.60888943360484,NaN,0.9350000023841858,2.0691035371193687,2.0691035371193687,1.0,51.60888943360484,1.0,NaN
