LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID123979 ? ID123986,0,123979,123986,0.8505881743798275,19.428151687774687,31.58989670622612,0.9222733729105635,0.5693064127117395,13.850890214745338,9.286942003340542,0.0,
ID123821 ? ID123828,0,123821,123828,0.7442343474701333,11.068422963678007,29.54904097941108,0.8626901804646517,0.10218320228159428,14.305642614280266,4.958651682191629,0.0,
ID123783 ? ID123795,0,123783,123795,0.32240125736079583,NaN,19.448535279771765,0.5678038898781831,0.01459760032594204,12.890105269087965,4.826329876923737,0.0,
ID123956 ? ID123971,0,123956,123971,2.436870175626259,15.778242129368248,53.46932874185165,1.5610477813399113,0.5109160114079714,11.79401928245358,7.946770105307525,0.0,
ID124026 ? ID124040,0,124026,124040,1.0733361558042842,24.707470083456236,35.485948268908274,1.0360193800331556,0.744477616623044,12.839072911401427,5.903676046082174,0.0,
ID123884 ? ID123891,0,123884,123891,0.12959846397060965,86.16368920849536,12.33072075482699,0.3599978666195255,0.27735440619289875,16.835212312660985,7.284530687682684,0.0,
ID123891 ? ID123897,0,123891,123897,3.08579685243703,9.52599002046262,60.16891795618087,1.7566436327374515,0.30654960684478283,15.899060394497734,6.803373029990207,0.0,
ID123807 ? ID123821,0,123807,123821,0.19746755250540948,26.648213011866602,15.220762425346972,0.44437321308266264,0.0729880016297102,13.71420825606713,4.699059509540605,0.0,
ID123971 ? ID123979,0,123971,123979,1.7356900142914435,9.856580562317594,45.12576922306976,1.3174558870381368,0.5401112120598555,12.841816956366864,8.911799943444063,0.0,
ID124009 ? ID124019,0,124009,124019,1.1694752391458256,0.8157124613540112,37.0411149948231,1.0814227846433724,0.6860872153192759,14.320588572848745,6.96710103772203,0.0,
ID123916 ? ID123927,0,123916,123927,0.5945826558554842,7.369719142527847,26.411596506514744,0.7710918595442985,0.39413520880043507,12.853387182625116,5.983750103943214,0.0,
ID124052 ? ID124062,0,124052,124062,0.29966109511003663,12.96737268365758,18.750105546006257,0.5474130936596572,0.8028680179268122,11.632270796619261,6.498155747247256,0.0,
ID123795 ? ID123807,0,123795,123807,0.15096085630104894,24.754147682827032,13.308242653810996,0.3885368146019743,0.04379280097782612,13.333745210631191,4.761090096397094,0.0,
ID123838 ? ID123849,0,123838,123849,0.5594011277131239,5.603465677130142,25.618293940136414,0.7479312319412286,0.16057360358536243,15.503967580296191,5.91239288970549,0.0,
ID123947 ? ID123956,0,123947,123956,0.3815584498192094,27.85078737983514,21.157730134816596,0.6177041766243849,0.4817208107560873,11.22257845980414,7.046803489271473,0.0,
ID123828 ? ID123838,0,123828,123838,0.5419771212184928,8.980389179491688,25.216163543294794,0.7361909543172157,0.13137840293347836,14.939639253616797,5.434363246993618,0.0,
ID123849 ? ID123860,0,123849,123860,1.8321221391665399,4.070740626141069,46.362382637095784,1.353559063789438,0.1897688042372465,16.307527773517084,6.586770982869065,0.0,
ID124002 ? ID124009,0,124002,124009,1.3288143249906734,31.953713084703445,39.48395845201514,1.1527420895372362,0.6568920146673918,14.960769587326647,7.882450531698881,0.0,
ID123908 ? ID123916,0,123908,123916,0.9931818744717336,11.491423396190116,34.13523744433319,0.9965851064870143,0.364940008148551,13.732192742310401,5.98717818827512,0.0,
ID123897 ? ID123908,0,123897,123908,0.9225745030902943,0.18503604388808675,32.89949711407448,0.9605074195914857,0.3357448074966669,14.664000105930068,6.237386074424033,0.0,
ID124019 ? ID124026,0,124019,124026,0.7898626234464481,6.685220112233495,30.44137865738978,0.8887421580224762,0.7152824159711599,13.681047860035418,6.223965030615832,0.0,
ID123860 ? ID123873,0,123860,123873,0.02890074272367906,4.442583894253986,5.822949685958164,0.170002184467374,0.2189640048891306,16.861881835285583,7.108340626638999,0.0,
ID123936 ? ID123947,0,123936,123947,0.05033670377881102,19.704697342935134,7.68477085339924,0.22435842702874126,0.4525256101042032,11.212269817725712,6.652482497673919,0.0,
ID123986 ? ID123993,0,123986,123993,0.46155848914664743,4.628584926903069,23.27029597597691,0.6793809602473766,0.5985016133636236,14.649404207731083,9.257899509048558,0.0,
ID124062 ? ID124072,0,124062,124072,0.5071418562919792,35.720041154850705,24.392328689981504,0.7121389304707187,0.8320632185786963,11.64292893833994,7.045675617228277,0.0,
ID123927 ? ID123936,0,123927,123936,1.712992226161696,10.247340817017559,44.82974119180982,1.3088132892669206,0.42333040945231915,11.872069862593897,6.293755360523685,0.0,
ID123993 ? ID124002,0,123993,124002,0.8299747152447192,38.448233882539114,31.204768614518485,0.911029480996482,0.6276968140155077,15.136258889745958,8.788871020257195,0.0,
ID124040 ? ID124052,0,124040,124052,0.43686536117659824,22.159153847549227,22.639265942553752,0.6609579118042224,0.7736728172749281,12.05144642218595,6.078011104052372,0.0,
ID123873 ? ID123884,0,123873,123884,0.05505718096628095,15.815710391362916,8.03702873458783,0.23464266655124968,0.24815920554101467,16.9444377304201,7.28731047937722,0.0,
