tif_name,frame,bug_xy,innerback_xy,innerback_radius,innerback_radius_max,ellipse_center,ellipse_width,ellipse_height,ellipse_major,ellipse_minor,ellipse_angle,ellipse_angle_adjust,ellipse_center_intensity,ellipse_mean_intensity,area_ratio,z_sign,z_center,center,center_left,center_right,trackmate_ellipse_center,trackmate_ellipse_major,trackmate_ellipse_minor,trackmate_ellipse_angle,trackmate_z
I15_entry_0002.nd2 - C=0-1_pair45_407_475,0,[3.56211715 3.57632136],[5.54829375 5.56126397],3.3186603271101687,3.548699292430932,"(33.580196380615234, 33.68832778930664)",6.190825939178467,12.712013244628906,12.712013244628906,6.190825939178467,143.595703125,4.077014138042458,24205.0,28337.971830985916,0.833209892141093,-1,-1.2312408191843147,[ 3.6938216   3.70571606 -1.23124082],[ 3.93026051  4.03826313 -0.40027167],[ 3.52613857  3.47773369 -0.27064147],[3.56211715 3.57632136],1.448641786425753,0.653797212216917,0.9131444134664272,-1.1105824827227302
I15_entry_0002.nd2 - C=0-1_pair45_407_475,1,[4.06973043 4.13497553],[5.44882559 5.59146973],3.333424798023989,3.548699292430932,"(36.356937408447266, 36.31460189819336)",6.567444324493408,22.436363220214844,22.436363220214844,6.567444324493408,142.59007263183594,4.05946257487829,25942.0,29230.21186440678,0.8381716956929024,-1,-1.4162126511801354,[ 3.99926311  3.99460621 -1.41621265],[ 4.36733997  4.49947937 -1.42709809],[ 3.80362396  3.70309303 -1.27025624],[4.06973043 4.13497553],1.6153072481067672,0.7384328354870676,0.8671192234351731,-1.4880891329676338
I15_entry_0002.nd2 - C=0-1_pair45_407_475,2,[4.61615596 4.85626349],[5.41519487 5.6920263 ],3.3322691645006057,3.548699292430932,"(42.0995979309082, 44.363037109375)",6.029153823852539,21.521825790405273,21.521825790405273,6.029153823852539,150.69451904296875,4.200911848803996,27613.0,29938.577235772358,0.9370829029354112,-1,-1.152265640820385,[ 4.63095577  4.87993408 -1.15226564],[ 4.90721127  5.35729004 -1.07601296],[ 4.38231945  4.42239536 -1.12444696],[4.61615596 4.85626349],1.4834535327836222,0.6899633162929624,1.127944772396244,-1.2711833177287417
I15_entry_0002.nd2 - C=0-1_pair45_407_475,3,[5.14583338 5.70027783],[5.48791867 5.7400298 ],3.3337136438109374,3.548699292430932,"(43.94710922241211, 53.438697814941406)",13.438559532165527,16.9915771484375,16.9915771484375,13.438559532165527,142.40921020507812,4.056305930038219,30251.0,29840.208053691276,"[0.68027348 0.68027348 0.68027348 0.68027348 0.68027348 0.68027348
 0.68027348 0.68027348]",-1,-3.485344224518872,[ 4.83418201  5.87825676 -3.48534422],[nan nan  0.],[ 4.60094101  5.54053455 -1.29095757],[5.14583338 5.70027783],1.6841663239938514,0.6504057891999568,0.981212349498333,-1.0955766947816237
I15_entry_0002.nd2 - C=0-1_pair45_407_475,4,[5.66845416 6.53437205],[5.46715651 5.73333683],3.345534849284673,3.548699292430932,"(48.217369079589844, 60.06260299682617)",13.080161094665527,15.682087898254395,15.682087898254395,13.080161094665527,170.87252807617188,4.553084542930548,31633.0,29640.296,"[0.60519838 0.60519838 0.60519838 0.60519838 0.60519838 0.60519838
 0.60519838 0.60519838]",-1,-3.457059913513319,[ 5.3039106   6.60688633 -3.45705991],[5.2727763  7.09176308 0.        ],[ 5.29588375  6.19617054 -0.60351248],[5.66845416 6.53437205],1.699281091268834,0.7063175068423536,1.237328299538109,-1.344155429650698
I15_entry_0002.nd2 - C=0-1_pair45_407_475,5,[5.86680884 6.7584626 ],[5.50122483 5.70566638],3.327063846303955,3.548699292430932,"(49.45878219604492, 62.60000991821289)",12.559172630310059,15.616839408874512,15.616839408874512,12.559172630310059,162.26004028320312,4.402768274155424,32221.0,29482.064516129034,"[0.62644545 0.62644545 0.62644545 0.62644545 0.62644545 0.62644545
 0.62644545 0.62644545]",-1,-3.347382015966504,[ 5.44046604  6.88600109 -3.34738202],[nan nan  0.],[nan nan  0.],[5.86680884 6.7584626 ],1.287054200329682,0.8451446686471796,1.5483623960243829,-1.972454881682161
I15_entry_0002.nd2 - C=0-1_pair45_407_475,6,[5.66460151 7.32655804],[5.56449531 5.74712339],3.3186603271101696,3.548699292430932,"(52.0, 67.5)",3.4156503677368164,4.183300018310547,4.183300018310547,3.4156503677368164,90.0,3.141592653589793,39272.0,34399.375,0.8910820535849157,1,0.0,[5.72  7.425 0.   ],[nan nan  0.],[nan nan  0.],[5.66460151 7.32655804],0.9702829461882362,0.7836616084485833,0.6320581877721813,1.6044268863095548
I15_entry_0002.nd2 - C=0-1_pair45_407_475,7,[5.60719225 7.26578085],[5.57688771 5.69780572],3.307034226121325,3.548699292430932,"(50.87668228149414, 67.13090515136719)",3.1351370811462402,7.932223796844482,7.932223796844482,3.1351370811462402,114.7215576171875,3.573065230231199,36550.0,34423.016393442624,0.8191786178049592,1,0.0,[5.59643505 7.38439957 0.        ],[nan nan  0.],[nan nan  0.],[5.60719225 7.26578085],1.1998935580369345,0.7917140569245072,0.5846767906649031,1.6481360433766543
I15_entry_0002.nd2 - C=0-1_pair45_407_475,8,[5.35654431 6.82673265],[5.63088735 5.68521998],3.317209292837179,3.548699292430932,"(48.884429931640625, 62.1220817565918)",6.479780673980713,13.883122444152832,13.883122444152832,6.479780673980713,146.86936950683594,4.134150395017344,37078.0,35000.2183908046,0.9341284386258263,1,1.2334097585380572,[5.37728729 6.83342899 1.23340976],[5.62007332 7.21346535 0.50319841],[5.21385624 6.5412352  0.48541796],[5.35654431 6.82673265],1.6245579866813882,0.8958958641710674,1.0262461719527711,2.2440607528136596
I15_entry_0002.nd2 - C=0-1_pair45_407_475,9,[5.19255677 6.30177144],[5.66141624 5.6605813 ],3.3157576235659474,3.548699292430932,"(47.735958099365234, 57.87321472167969)",6.028242588043213,18.74944305419922,18.74944305419922,6.028242588043213,156.12838745117188,4.295750743647243,36372.0,34549.74257425743,0.9011996473400941,1,0.9875878762115429,[5.25095539 6.36605362 0.98758788],[5.46692162 6.83999977 0.80596481],[5.07248821 5.9510313  1.04868355],[5.19255677 6.30177144],1.7847058739866033,0.8826514895242086,1.1802269766659714,2.165071806512004
