LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_8904,0,0,109,0,0,0,0,0,4.3299358785152435,0.0,4.3299358785152435,4.9122171216526365,7.971879052635202,1.7499629731789865,0.0,8.19371826701137,86.11143760933793,0.0,1.4993920876678766,18.000323605987344,0.945321100567459,35.47827470277827,6.434391979961326,0.1384570462573245,1.1344780291150778,0.13845704625732447,44.43454410855509
Track_8905,1,1,132,0,0,0,0,0,5.25205185264349,0.3608279898762703,5.61287984251976,15.199160854930767,14.980368678041897,6.045613081252724,0.0,14.313883143638614,123.24901747700223,0.0,1.372518214684191,26.76553115886427,0.9190151519847639,75.17725648306963,16.05330688981599,0.20217764741592706,2.8939472193673503,0.20217764741592711,43.33964213933584
Track_8906,2,2,85,0,0,0,0,0,3.367727905511856,0.0,3.367727905511856,3.7196904731363203,32.17578976012027,0.6117946474121599,0.0,3.6042343478696437,82.93158798767305,0.21353033642855793,1.4725482103711696,9.112383708738802,0.9897647058262544,12.138080591324925,3.7196904731363203,0.3064479960525867,1.104510393208554,0.3064479960525867,41.100017244069285
Track_8907,3,3,15,0,0,0,0,0,0.561287984251976,0.0,0.561287984251976,2.640046153943668,38.839716199349525,0.09292487998397184,0.0,6.725928237031582,47.22770713965532,0.6162602447780495,2.8208747758201596,12.408167472014513,0.8513333320617675,3.775182702386903,2.640046153943668,0.6993161290642883,4.703550099085118,0.6993161290642882,44.269055390974444
Track_8908,4,4,48,0,0,0,0,0,1.8843239471316338,0.0,1.8843239471316338,0.9704104757328339,16.051818634206935,0.9075434527698153,0.0,2.81777568435244,28.898712244897297,0.336282018812226,1.7514978131668195,4.248139709098356,0.9908333333830038,5.309602199670531,0.9704104757328339,0.1827651939335586,0.5149913194119395,0.1827651939335586,50.048472483040676
Track_8909,5,5,25,0,0,0,0,0,0.9622079730033875,0.280643992125988,1.2428519651293755,1.904537797675534,23.779135570463104,0.5377369156033704,0.0,5.110616719881465,34.46990119216177,0.5010584018067553,1.764536385271363,9.407073403963356,0.9664000010490418,4.9174761548343655,1.904537797675534,0.38729985417482604,1.9793411103535192,0.38729985417482604,32.14778082149455
Track_8910,6,6,14,0,0,0,0,0,0.5211959853768349,0.0,0.5211959853768349,1.3027648556939733,44.77928432287821,1.5392654762114648,0.0,3.322682308287786,21.46750624689774,0.3105908517207487,1.0015738028626997,6.329424780138844,0.9707142880984715,1.731768679762229,1.3027648556939733,0.7522741754821679,2.499568093856381,0.752274175482168,48.09437312942665
